0	Kunyit Kuning	Curcuma longa Linn. Syn. Curcuma domestica Val.	sebagai obat tradisional, bumbu masakan, bahan pengawet, pewarna makanan, bagian rimpang (umbi) mengandung antioksidan, mengandung kurkuminoid yang bermanfaat sebagai antirematik, antiinflamasi, antikanker.  Secara tradisional digunakan untuk penderita kencing manis, rematik, penyakit kulit, demam, sembelit, kurang darah, sebagai kolagogum, mengurangi rasa kejang, dan melancarkan keluarnya lendir bagi penderita pilek, radang usus buntu, radang rahim, radang amandel, mati haid, anti ketombe, sindroma Weil, asma, borok, gatal, radang gusi, koreng, bengkak, encok, radang hidung, perut nyeri, trachoma/mata, eksema, kurang darah, tekanan darah tinggi, demam-nifas, menceret, gabag, cacar sapi, kepala pusing, demam-kuning, keputihan kudis, disentri, infeksi, dan influensa.	air (13,1%), karbohidrat (69,4%), protein (6,3%), lemak (5,1%), dan mineral (3,5%). Dari proses destilasi uap, kunyit juga mengandung minyak esensial (5,8%) terdiri dari borneol (0.5%), sabinene (0.6%), aphellandrene (1%), cineol (1%), zingiberene (25%) dan sesquiterpen (53%).  Kurkuminoid termasuk kurkumin, desmetoksikurkumin, bisdesmetoksi kurkumin, resin, minyak atsiri, termasuk α dan β tumeron, artumeron, α dan ¥ atlanton, kurlon, zingiberen, dan kurkumol.
1	Kunyit/Temu Hitam	Curcuma aeruginosa Roxb.	Sumber antioksidan, bahan kosmetik, meningkatkan gairah, mengobati keseleo dan memar, mengobati wasir, kusta, sakit perut, batuk, asma, kanker, demam, gangguan menstruasi, gonore keputihan dan peradangan. Pengobatan eksternal dapat mengobati kudis. Mempercepat pengeluaran lokia pada wanita sehabis bersalin. Melawan kegemukan, rematik, dan kecacingan. Dapat menjadi sumber pewarna alami.	sesquiterpenes, zedoalactone A, zedoalactone B, zedoarondiol, zedoarol, curcumenol, isocurcumenol, furanodiene and isofuranodiene, β‑pinene, 1, 8‑cineol, curzerenone, furangermenone, furanodienone, camphor, zedoarol, curcumenol, β‑elemene and isocurcumenol.
2	Jahe Putih	Zingiber officinale Rosc	Sumber antioksidan. Mengobati radang selaput lendir hidung, rematik, penyakit syaraf, radang gusi, sakit gigi, nyeri haid, asma, stroke, sembelit, kencing manis dan migrain. Dalam pengobatan Asia, digunakan sebagai karminatif (melancarkan pencernaan), stimulan, diuretik dan anti-emetik. Mengurangi perut kembung, meredakan batuk, masuk angin, meringankan nyeri, gejala sakit kepala, memperbaiki nafsu makan, peluruh keringat dan menghilangkan jamur, sebagai penawar racun ular, sebagai obat luar untuk mengobati keseleo, bengkak, memar, dan dapat digunakan pada penderita rematik, kolera, difteria, dan neuropati.	Minyak atsiri (0.5 - 5.6%), zingiberon, zingiberin, zingibetol, barneol, kamfer, folandren, sineol, gingerin, vitamin (A, B1, C), karbohidrat (20-60%), damar (resin), oleoresin, asam-asam organik (malat, oksalat).
3	Jahe Merah	Zingiber officinale var.rubrum.	Sebagai antiinflamasi, antioksidan, antidiabetes, anti mual / antiemetik, imunomodulator, antihiperlipidemia, tonik, antihiperurisemia, antimikroba, agen sitotoksik, mengobati tekanan darah tinggi. 	minyak atsiri tidak kurang dari 1,70% v/b, karbohidrat (50-70%), lipid (3-8%), terpen (zingiberene, β-bisabolene,α-farnesene, β-sesquiphellandrene, dan α-curcumene), senyawa fenolik (gingerol, paradol, dan shogaol)
4	Jahe Emprit	Z. officinale var. Amarum	sebagai antioksidan, sebagai obat batuk, penawar racun, antitusif, laksatif, antasida, sebagai antikanker. sebagai bahan makanan	sogaol, gingerol, gingerone, Vitamin E, vitamin c, minyak atsiri (1.5-3.5%).   1,8-Cineole (7.95%), 1,8-p-methandiene (2.74%), arcurcumene (6.86%), Bornyl acetate (3.21%), camphene (10.14%), citral (16.19%), geranyl acetate (2.24%), methylheptenone (2.44%), z-citral (12.23%), α-pinen (2.5%), and β-bisabolen (2.64%)
5	Kunyit/Temu Putih	Curcuma Zedoaria	antimikroba, antikanker, antifungal, obat penurun panas, sumber antioksidan.  mengatasi masalah kesehatan kewanitaan, obat pembersih & penguat rahim sesudah nifas. Obat kudis, radang kulit, pencuci darah, perut kembung, dan gangguan lain pada saluran pencernaan.	kurkuminoid (diarilheptanoid), minyak atsiri, cyclopropanosesquiterpene, curcumenone dan 2  spirolactones, curcumanolide A dan curcumanolide B.   metil-p-metoksi-sinamat, seskuiterpenoid, polisakarida, kurzerenon, etil p-metoksi-sinamat, isokurkumenol, kurdion, kurkuminoid.
6	Kunyit Merah	Curcuma macrochlamys	Untuk mengobati obesitas pada masa kanak-kanak;Mengobati penyakit kulit seperti kudis dan ruam;Mengatasi masalah obesitas dan kegemukan;Mengembalikan kebugaran terutama untuk wanita setelah melahirkan dan menstruasi;Menghilangkan masuk angin, sakit perut dan mual;Mengobati cacingan pada anak-anak;Meningkatkan nafsu makan untuk anak-anak	Kurkuminoid (kurkumin, desmetoksikumin, bisdesmetoksikurkumin);Minyak asiri / Volatil oil (Keton sesquiterpen, turmeron, tumeon 60%, Zingiberen 25%, felandren, sabinen, borneol dan sineil );Lemak 1 -3 %;Karbohidrat 3 %;Protein 30%;Pati 8%;Vitamin C 45-55%;Garam-garam Mineral (zat besi, fosfor, dan kalsium)
7	Kencur	Kaempferia galanga	- Roboransia - Digunakan pada penderita tekanan darah tinggi, bengkak, ulser, asma, gangguan tenggorokan, batuk, flu, keseleo, setelah melahirkan, encok, keracunan, sakit kepala (pusing), demam malaria, tonik, gangguan pencernaan, karminatif dan stimulan. - Rematik otot, radang, sakit perut, telinga bernanah, menghilangkan keringat, batuk. - K. galanga dijual sebagai tanaman industri di pasar, dan rimpangnya telah digunakan sebagai bumbu penyedap berbagai masakan. Rimpang K. galanga digunakan sebagai antitusif, ekspektoran, antipiretik, diuretik, anabolik, karminatif, serta untuk menyembuhkan penyakit saluran pencernaan, asma, luka, rematik, epilepsi, dan penyakit kulit. - Anti radang yang bermakna, analgesik dan membantu menurunkan asam urat. - Mengatasi keputihan dan meringankan kencing manis.	pati (4,14 %), mineral (13,73 %), dan minyak atsiri (0,02 %) berupa sineol, asam metil kanil dan penta dekaan, asam sinnamat, etil trans-p-metoksi sinamat, etil aster, asam sinamik, borneol, kamfen, paraeumarin, asam anisikα, alkaloid dan gom.
8	Temulawak	Curcuma zanthorrhiza	- gangguan perut, gangguan hati (penyakit kuning), batu empedu dan meningkatkan sekresi empedu. demam dan konstipasi, memperlancar air susu ibu, mencegah radang rahim pasca melahirkan, diare berdarah, desentri, inflamasi dubur, wasir, sakit perut karena flu, luka infeksi, jerawat, eksema, cacar dan mual.(2) - Diindikasikan sebagai Hepatoprotektor	mengandung kurkumin, xhantorizol, kurkuminoid, minyak atsiri dengan komponen a kurkkumen, germaktan, or-turmeron, β-atlantanton, d-kamfor. Kandungan kurkuminoid (0,8-2%) terdiri dari kurkumin dan demetoksikurkumin, minyak atsiri (3-12%) dengan komponen α-kurkumen, xanthorizol, β- kurkumen, germakren, furanodien, furanodienon, arturmeron, β-atlantanton, d-kamfor. Pati (30-40 %). Rimpang temulawak mengandung minyak atsiri tidak kurang dari 5,80% v/b dan kurkuminoid tidak kurang dari 4,0% dihitung sebagai kurkumin.
9	Lengkuas / Laos	Alpinia galanga	Mengobati diare, Mencegah infeksi, Mengurangi risiko tumor dan kanker, Meredakan peradangan dan nyeri, Meringankan gejala asma, Meredakan batuk, sakit tenggorokan, dan suara serak, Membantu mengobati luka bakar  Peluruh kentut, antijamur, sakit perut, dan malaria.	Lengkuas 100 gram mengandung energi dan zat gizi:;Energi: 26 kkal;Protein: 1 gram;Lemak: 0,3 gram;Karbohidrat: 4,7 gram;Serat: 1,1 gram;Vitamin A: 5.000 mikrogram;Tiamin (vitamin B1): 0,08 miligram;Riboflavin (vitamin B2): 0,06 miligram;Niasin (vitamin B3): 0,3 miligram;Vitamin C: 50 miligram;Kalsium: 50 miligram;Fosfor: 50 miligram;Zat besi: 2 miligram;Natrium: 24 miligram;Kalium: 137 miligram;Zinc: 0,3 miligram.  Minyak atsiri, kamfer, sineol, asam metil sinamat, sedrol, eugenol, limonene, α-pinen, β-pinen, α-fenkil asetat, 1'-Asetoksikavikol asetat.
